method_enc,path_len,path_depth,has_query,has_values,is_php,is_static,label,freq_label,predicted_label
0,1,1,0,0,0,0,0,1,8
0,11,1,0,0,0,1,-1,1,8
0,11,1,0,0,0,0,-1,1,8
0,11,1,0,0,0,1,-1,1,8
0,18,1,0,0,0,0,-1,1,8
0,13,1,0,0,0,1,-1,1,8
0,14,1,0,0,0,1,-1,1,8
0,14,1,0,0,0,1,-1,1,8
0,12,1,0,0,0,0,0,1,8
0,6,2,0,0,0,0,-1,1,8
0,32,3,0,0,0,1,-1,1,8
0,23,3,0,0,0,1,-1,1,8
0,25,3,0,0,0,0,-1,1,8
0,28,4,0,0,0,1,-1,1,8
0,35,4,0,0,0,0,-1,1,8
0,35,4,0,0,0,0,-1,1,8
0,35,4,0,0,0,0,-1,1,8
0,41,4,0,0,0,0,-1,1,8
0,13,3,0,0,0,0,-1,1,8
0,15,2,0,0,0,0,-1,1,8
0,15,2,0,0,0,0,-1,1,8
0,27,3,0,0,0,0,-1,1,8
0,11,1,0,0,0,0,-1,1,8
0,11,1,0,0,0,0,-1,1,8
0,12,2,0,0,0,0,-1,1,8
0,12,2,0,0,0,0,-1,1,8
0,12,1,0,0,0,0,0,1,8
0,7,1,1,1,0,0,8,3,8
0,12,2,0,0,0,0,-1,1,8
0,18,2,1,1,0,0,8,3,8
0,23,2,1,1,0,0,8,3,8
0,23,2,1,1,0,0,8,3,8
0,287,2,1,1,0,0,9,3,8
0,23,2,1,1,0,0,8,3,8
0,25,2,1,1,0,0,-1,3,8
0,49,2,1,1,0,0,9,3,8
0,50,2,1,1,0,0,9,3,8
0,81,2,1,1,0,0,9,3,8
0,75,2,1,1,0,0,9,3,8
0,69,2,1,1,0,0,9,3,8
0,43,2,1,1,0,0,9,3,8
0,52,2,1,1,0,0,9,3,8
0,150,2,1,1,0,0,9,3,8
0,189,2,1,1,0,0,9,3,8
0,183,2,1,1,0,0,9,3,8
0,177,2,1,1,0,0,9,3,8
0,151,2,1,1,0,0,9,3,8
0,160,2,1,1,0,0,9,3,8
0,383,2,1,1,0,0,9,3,8
0,377,2,1,1,0,0,9,3,8
0,371,2,1,1,0,0,9,3,8
0,345,2,1,1,0,0,9,3,8
0,354,2,1,1,0,0,9,3,8
0,364,2,1,1,0,0,9,3,8
0,358,2,1,1,0,0,9,3,8
0,352,2,1,1,0,0,9,3,8
0,326,2,1,1,0,0,9,3,8
0,335,2,1,1,0,0,9,3,8
0,454,2,1,1,0,0,9,3,8
0,448,2,1,1,0,0,9,3,8
0,442,2,1,1,0,0,9,3,8
0,416,2,1,1,0,0,9,3,8
0,425,2,1,1,0,0,9,3,8
0,165,2,1,1,0,0,9,3,8
0,58,2,1,1,0,0,9,3,8
0,55,2,1,1,0,0,9,3,8
0,55,2,1,1,0,0,9,3,8
0,52,2,1,1,0,0,9,3,8
0,67,2,1,1,0,0,9,3,8
0,64,2,1,1,0,0,9,3,8
0,64,2,1,1,0,0,9,3,8
0,61,2,1,1,0,0,9,3,8
0,155,2,1,1,0,0,9,3,8
0,152,2,1,1,0,0,9,3,8
0,152,2,1,1,0,0,9,3,8
0,149,2,1,1,0,0,9,3,8
0,133,2,1,1,0,0,9,3,8
0,127,2,1,1,0,0,9,3,8
0,121,2,1,1,0,0,9,3,8
0,95,2,1,1,0,0,9,3,8
0,104,2,1,1,0,0,9,3,8
0,121,2,1,1,0,0,9,3,8
0,115,2,1,1,0,0,9,3,8
0,109,2,1,1,0,0,9,3,8
0,83,2,1,1,0,0,9,3,8
0,92,2,1,1,0,0,9,3,8
0,97,2,1,1,0,0,9,3,8
0,91,2,1,1,0,0,9,3,8
0,85,2,1,1,0,0,9,3,8
0,59,2,1,1,0,0,9,3,8
0,68,2,1,1,0,0,9,3,8
0,177,2,1,1,0,0,9,3,8
